Bill_id,Bill_description,topic_name,classification,qa_review,qa_notes
HB1986,"Virginia Retirement System; return to work for law-enforcement officers, effective date.","Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB2443,Portable benefit accounts; Va. resident who has worked as an independent contractor to establish.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1564,Virginia Retirement System; enhanced retirement benefits for 911 dispatchers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
SB1224,State Police Officers' Retirement System; membership for DWR conservation police officers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB1812,Virginia Retirement System; enhanced retirement benefits for animal control officers.,"Pensions, Benefits, and Retirement",Derived from LIS bill summary,,
HB2183,"Abortion; born alive infant, treatment and care, penalty.",Professions and Occupations,Derived from LIS bill summary,,
HB1647,Board of Medicine; licensure of anesthesiologist assistants.,Professions and Occupations,Derived from LIS bill summary,,
SB1188,International licensure and certification; regulations.,Professions and Occupations,Derived from LIS bill summary,,
SB1438,"Health regulatory boards; regulations, licensure by endorsement.",Professions and Occupations,Derived from LIS bill summary,,
HB1675,Board of Medicine; continuing education; unconscious bias and cultural competency.,Professions and Occupations,Derived from LIS bill summary,,
HB1649,Board of Medicine; continuing education; unconscious bias and cultural competency.,Professions and Occupations,Derived from LIS bill summary,,
HB2398,"Abortion; born alive infant, treatment and care, penalty.",Professions and Occupations,Derived from LIS bill summary,,
HB1940,International licensure and certification; regulations.,Professions and Occupations,Derived from LIS bill summary,,
HB2391,Certified registered nurse anesthetists; elimination of supervision requirement.,Professions and Occupations,Derived from LIS bill summary,,
HB1861,Department of Health Professions; health regulatory boards; regulations; licensure by endorsement.,Professions and Occupations,Derived from LIS bill summary,,
HB2750,Common interest communities; termination of certain management contracts.,Property and Conveyances,Derived from LIS bill summary,,
HB1640,Virginia Disposition of Unclaimed Property Act; administrator to exercise due diligence to locate owner.,Property and Conveyances,Derived from LIS bill summary,,
HB2292,Common interest communities; termination of certain management contracts.,Property and Conveyances,Derived from LIS bill summary,,
HB1606,Claims to unclaimed property; authority of administrator.,Property and Conveyances,Derived from LIS bill summary,,
HB2717,Unclaimed property; application to delinquent taxes.,Property and Conveyances,Derived from LIS bill summary,,
HB1704,"Resale Disclosure Act; resale certificate, responsibility for payment of insurance deductible.",Property and Conveyances,Derived from LIS bill summary,,
SB1241,Charitable gaming; certain common interest communities to conduct bingo.,Property and Conveyances,Derived from LIS bill summary,,
HB2110,"Resale Disclosure Act; resale certificate, prohibition on requiring purchaser's name.",Property and Conveyances,Derived from LIS bill summary,,
HB2078,Charitable gaming; certain common interest communities qualified to conduct bingo.,Property and Conveyances,Derived from LIS bill summary,,
HB2542,Common interest communities; amateur radio antennas permitted.,Property and Conveyances,Derived from LIS bill summary,,
SB1326,Core emergency management functions; DEM to study reliance on federal grants.,Public Safety,Derived from LIS bill summary,,
HB2532,"Unmanned aircraft systems; use by law-enforcement officers, search warrants.",Public Safety,Derived from LIS bill summary,,
SB1194,DCJS; establishing training course for law-enforcement officers and agencies regarding arrests.,Public Safety,Derived from LIS bill summary,,
HB2435,Model policy for law-enforcement officer investigating overdose; notification to prescriber.,Public Safety,Derived from LIS bill summary,,
HB2433,Law-enforcement agencies; use of certain technologies and interrogation practices;.,Public Safety,Derived from LIS bill summary,,
HB2366,"Public Safety & Homeland Security & HHR, Secretaries of; combat sale of illicit cannabis products.",Public Safety,Derived from LIS bill summary,,
HB2051,"Division superintendents, etc.; annual meetings on school grounds w/ local law enforcement.",Public Safety,Derived from LIS bill summary,,
SB1301,"Workers' compensation benefits; post-traumatic stress disorder incurred by firefighters, etc.",Public Safety,Derived from LIS bill summary,,
HB1820,Public safety communications; evaluation of need for infrastructure updates & hardware replacements.,Public Safety,Derived from LIS bill summary,,
HB1563,Virginia Law Officers' Retirement System; emergency dispatchers.,Public Safety,Derived from LIS bill summary,,
SB1163,"Alcoholic beverage control; food-to-beverage ratio, sunset.",Social Services,Derived from LIS bill summary,,
SB1406,"Children's Ombudsman, Office of the; foster youths right to receive information.",Social Services,Derived from LIS bill summary,,
HB1755,Sales and use tax on services and digital personal property.,Social Services,Derived from LIS bill summary,,
HB1964,Future in Focus Program; established.,Social Services,Derived from LIS bill summary,,
SB1018,"Higher educational institutions, public; SNAP eligibility, applications, and participation.",Social Services,Derived from LIS bill summary,,
HB2597,Administrative Process Act; provisional license to an assisted living facility or adult day center.,Social Services,Derived from LIS bill summary,,
HB1777,"Children's Ombudsman, Office of the; foster youths right to receive information.",Social Services,Derived from LIS bill summary,,
HB2613,"Child abuse and neglect; custody and visitation, possession or consumption of authorized substances.",Social Services,Derived from LIS bill summary,,
HB2457,"Foster care; State Bd. of Social Services to amend regulations, application for and use of benefits.",Social Services,Derived from LIS bill summary,,
HB2221,"Prisoners; Department of Corrections-issued identification, report.",Social Services,Derived from LIS bill summary,,
HB1575,Campaign fundraising; legislative sessions; enforcement of civil penalty.,State Government,Derived from LIS bill summary,,
HB1686,"Campaign finance; prohibited personal use of campaign funds; complaints, hearings, civil penalty, and advisory opinions.",State Government,Derived from LIS bill summary,,
HB2617,"Women's Health, Commission on; established, report.",State Government,Derived from LIS bill summary,,
SB1073,"Voter registration; verification of social security numbers, provisional registration status.",State Government,Derived from LIS bill summary,,
HB1964,Future in Focus Program; established.,State Government,Derived from LIS bill summary,,
SB1349,"Conflict of Interests Act, State and Local Government, etc.; annual filing of disclosure statements.",State Government,Derived from LIS bill summary,,
HB2467,"Local and Regional Jails, State Board of; oversight of local and regional jails, powers and duties.",State Government,Derived from LIS bill summary,,
SB1186,"Health insurance; coverage for donor human milk, penalty.",State Government,Derived from LIS bill summary,,
HB1909,"Agricultural Education Excellence, Virginia Commission for; established, report, sunset.",State Government,Derived from LIS bill summary,,
SB1393,Pregnancy mobile application; Department of Health to contract with a mobile developer to create.,State Government,Derived from LIS bill summary,,
HB1710,Department of Medical Assistance Services; reimbursement rates for Early Intervention Program for Infants and Toddlers with Disabilities; work group; report.,"Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
SB1260,Hospitals; reports of threats or acts of violence against health care providers.,"Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1992,"Emergency Management;  Secretary of Public Safety and Homeland Security et al., to evaluate needs.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1577,Centralized local government reporting system; unfunded mandates on localities.,"Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB2163,"Enterprise zone grant program; real property investment grants, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
SB1475,"Dentists & dental hygienists; work group to assess expedited pathways for licensure, report.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1760,"Mental health for children 5 yrs. of age or younger; DBHDS, et al., to develop screening, etc.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB2413,Electric utilities; integrated resource plans.,"Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
HB1844,Baby Food Protection Act; testing and labeling requirements for toxic heavy metals.,"Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
SB1053,"Synthetic digital content; definition, penalty, report, effective clause.","Study Commissions, Committees, and Reports",Derived from LIS bill summary,,
SB1202,Tax exempt property; nonprofit institutions of learning.,Taxes and Revenue,Derived from LIS bill summary,,
HB2747,"Electronic gaming devices; regulating definitions, licensees, taxation, placement and compliance.",Taxes and Revenue,Derived from LIS bill summary,,
SB1172,"RS & UT; food for human consumption and essential personal hygiene products, delayed effective date.",Taxes and Revenue,Derived from LIS bill summary,,
HB2153,Comprehensive plan; housing development by nonprofit organizations.,Taxes and Revenue,Derived from LIS bill summary,,
HB2585,"Benefits consortium; governing bodies of three or more cities, counties, or school boards to form.",Taxes and Revenue,Derived from LIS bill summary,,
HB1868,Real property tax exemption; surviving spouses of members of armed forces who died in line of duty.,Taxes and Revenue,Derived from LIS bill summary,,
SB1435,Eminent domain powers of public service corporations; compensation to the Commonwealth & localities.,Taxes and Revenue,Derived from LIS bill summary,,
HB2087,"Electric utilities; transportation electrification, definitions.",Taxes and Revenue,Derived from LIS bill summary,,
HB2653,Qualified equity and subordinated debt investments tax credit; sunset.,Taxes and Revenue,Derived from LIS bill summary,,
SB1328,"Medicaid waivers; consumer-directed services, employer of record.",Taxes and Revenue,Derived from LIS bill summary,,
HB2428,Tangible personal property; computer equipment and peripherals used in data centers.,Technology and Data,Derived from LIS bill summary,,
HB2268,"Emerging Technologies, Cybersecurity, and Data Privacy,  Division of; established.",Technology and Data,Derived from LIS bill summary,,
HB1818,School Safety Firearm Detection Software Pilot Program; established.,Technology and Data,Derived from LIS bill summary,,
SB1170,Virginia Conflict of Interest and Ethics Advisory Council; disclosure of digital assets.,Technology and Data,Derived from LIS bill summary,,
SB1417,"Digital Content Authenticity and Transparency Act; established, civil penalty.",Technology and Data,Derived from LIS bill summary,,
HB2692,"Custodial interrogations; false statements to a child prohibited, inauthentic replica documents.",Technology and Data,Derived from LIS bill summary,,
HB1874,"Retired or former law-enforcement officers; definition, publication of personal information.",Technology and Data,Derived from LIS bill summary,,
HB2727,"Gift certificates; amends definition, international transactions, fraud reports.",Technology and Data,Derived from LIS bill summary,,
HB2670,"Campaign finance; campaign required tax-exempt organization disclosure, report, civil penalties.",Technology and Data,Derived from LIS bill summary,,
HB2411,"Consumer Counsel, Division of; expands duties, artificial intelligence fraud and abuse.",Technology and Data,Derived from LIS bill summary,,
SB1265,Driver communication improvement program; DMV to develop and implement program.,Transportation,Derived from LIS bill summary,,
HB1784,Expired vehicle registration; establishes a tiered fine system.,Transportation,Derived from LIS bill summary,,
HB2600,"Motor vehicle accidents; VSP to review property damage threshold, report.",Transportation,Derived from LIS bill summary,,
SB1006,Driving while intoxicated; pre-conviction ignition interlock for certain offenders.,Transportation,Derived from LIS bill summary,,
HB2254,Outdoor advertising in sight of public highways; reduces license fee.,Transportation,Derived from LIS bill summary,,
HB1668,Motor vehicle sales and use tax; definition of sale price.,Transportation,Derived from LIS bill summary,,
SB1395,"Illegal sale of cannabis; retail tobacco & hemp products, possession by person under 21yrs. of age.",Transportation,Derived from LIS bill summary,,
HB2369,Central Criminal Records Exchange; removes requirement for annual reports.,Transportation,Derived from LIS bill summary,,
HB2385,"Motor vehicle accidents; actions brought by uninsured motorists, limited damages.",Transportation,Derived from LIS bill summary,,
HB1750,Department of Transportation; maintenance on components of the Interstate System.,Transportation,Derived from LIS bill summary,,
HB1605,Uniform Trust Code; qualified trustee; definition.,"Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
HB1644,"Wills, trusts, and fiduciaries; Consumer Price Index adjustments.","Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
SB1116,"Uniform Trust Code; expands definitions of ""independent qualified trustee"" and ""qualified trustee"".","Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
HB1770,"Uniform Trust Code; adds ""electronic"" to definitions in Code.","Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
HB2243,Uniform Trust Code; expands certain specific powers of trustee.,"Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
HB1912,"Wills, trusts, and fiduciaries; Consumer Price Index adjustments, modification of uneconomic trust.","Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
SB1140,"Single family homes; prohibited acquisition, civil penalty.","Wills, Trusts, and Fiduciaries",Derived from LIS bill summary,,
HB1889,Notarial act; definition.,Unclassified,Unclassified,,
HJ458,"Armenian Genocide Remembrance Day; designating as April 24, 2025 & each succeeding year thereafter.",Unclassified,Unclassified,,
SB1234,"Private well permit application; application shall include whether repair of existing well, etc.",Unclassified,Unclassified,,
SB1493,Contraception; right to access.,Unclassified,Unclassified,,
SB796,Virginia Recreational Facilities Authority; authority to dissolve.,Unclassified,Unclassified,,
HB1677,Charter; City of Martinsville.,Unclassified,Unclassified,,
SB771,Christopher Newport University Board of Visitors; annual meetings.,Unclassified,Unclassified,,
SB937,Administrative Process Act; provisional license to an assisted living facility or adult day center.,Unclassified,Unclassified,,
SB762,"Supervisors, boards of; increases statutory salary caps for certain counties.",Unclassified,Unclassified,,
SB797,"VA School for the Deaf & the Blind, Board of Visitors of the; authority to establish campus police.",Unclassified,Unclassified,,
SB987,Charter; City of Norfolk.,Unclassified,Unclassified,,
HB2695,Library Board; conferral of the honorary degree of patron of letters.,Unclassified,Unclassified,,
SB989,Declinable preneed funeral guarantee fee; amends definition.,Unclassified,Unclassified,,
SB964,Collective bargaining; individual home care providers.,Unclassified,Unclassified,,
HB2115,"Summonses of a juvenile; custody, visitation, and support proceedings.",Unclassified,Unclassified,,
SB965,District courts; recording of proceedings.,Unclassified,Unclassified,,
HB2474,School resource officers and school security officers; crisis intervention training.,Unclassified,Unclassified,,
HB2677,Dinwiddie Airport and Industrial Authority; residency requirements.,Unclassified,Unclassified,,
HJ682,Commemorating the life and legacy of William Flora.,Unclassified,Unclassified,,
SB757,"Trespass with an unmanned aircraft system; contracted defense facility, penalty.",Unclassified,Unclassified,,
SJ254,Ehlers-Danlos Syndromes Awareness Month; designating as May 2025 & each succeeding year thereafter.,Unclassified,Unclassified,,
SJ269,Persian Heritage Month.,Unclassified,Unclassified,,
SB948,Registration of aircraft; fees.,Unclassified,Unclassified,,
SB1173,Virginia coordinate systems; updates several references in Code.,Unclassified,Unclassified,,
HB2162,Substitute judge of a district court; per diem compensation.,Unclassified,Unclassified,,
HB2570,Uniform Statewide Building Code; installation of natural gas leak detectors in residential building.,Unclassified,Unclassified,,
HB2477,Property under common ownership; creation of easements.,Unclassified,Unclassified,,
HB2556,"Address Confidentiality Program; removal of Program participant, penalty.",Unclassified,Unclassified,,
SB977,"Standards of Quality; certain calculations, support services.",Unclassified,Unclassified,,
SR209,Nominating a person to be elected as the Auditor of Public Accounts.,Unclassified,Unclassified,,
HB2152,Virginia Freedom of Information Act; public body's FOIA officer training.,Unclassified,Unclassified,,
HJ463,Migration of individuals age 60 & older; JLARC to study causation and resulting impact.,Unclassified,Unclassified,,
HB2378,Therapeutically equivalent drug products; provisions for return of outdated drugs.,Unclassified,Unclassified,,
SB978,"Mathematics Improvement, Office of; established, mathematics improvement/advancement policies, etc.",Unclassified,Unclassified,,
SB761,Civil actions brought by warrant; extends date range for court appearance.,Unclassified,Unclassified,,
HB1857,Department of Professional and Occupational Regulation; boards; appointment requirements; years of experience.,Unclassified,Unclassified,,
HB1799,Virginia Lottery; disclosure of identity of winners.,Unclassified,Unclassified,,
HB1801,School crossing zones; increases maximum boundaries of a zone from limits of school property.,Unclassified,Unclassified,,
HR487,"Israel, State of; reaffirming Commonwealth's support and commitment to its supporters.",Unclassified,Unclassified,,
SB863,Fantasy Contests Act; minimum age requirement.,Unclassified,Unclassified,,
HB2624,"Local officers; removal of officer appointed for a certain term, etc.",Unclassified,Unclassified,,
SJ259,Study; JLARC; methodology used to determine judicial allocations; report.,Unclassified,Unclassified,,
SB1169,"Marine Resources Commission; encroachment on subaqueous beds, permitting requirements.",Unclassified,Unclassified,,
HJ683,Commemorating the life and legacy of William Woodford.,Unclassified,Unclassified,,
SB921,"Large animal veterinary grant program; State Veterinarian to establish, report.",Unclassified,Unclassified,,
SB1339,Virginia Telephone Privacy Protection Act; telephone solicitations by text message.,Unclassified,Unclassified,,
SB838,"Recovery residences; certification required penalty, report.",Unclassified,Unclassified,,
HB1658,Board of Housing and Community Development; USBC; stakeholder group to evaluate temperature regulation.,Unclassified,Unclassified,,
SB1209,"Photo speed monitoring devices; private vendors compensated for calibration, civil penalty.",Unclassified,Unclassified,,
HB2533,"Counties, cities, and towns; comprehensive plan may include tiny homes or accessory dwelling units.",Unclassified,Unclassified,,
HB2649,"Prescription Monitoring Program; exemptions, licensed narcotic maintenance treatment programs.",Unclassified,Unclassified,,
HB2313,"Boarding establishments; inspections by animal control officers, report.",Unclassified,Unclassified,,
HB1803,"Human Resource Management, Department of; establishing a career group for licensed behavior analysts",Unclassified,Unclassified,,
HB2735,Involuntary admission for treatment.,Unclassified,Unclassified,,
SB778,"Juveniles; adjudication of delinquency, when and how child may be taken into immediate custody.",Unclassified,Unclassified,,
HB1774,County services; provision of services within towns.,Unclassified,Unclassified,,
HB2658,Local treasurers; increases maximum amount of surety bond required.,Unclassified,Unclassified,,
HR846,Commemorating the life and legacy of Carter G. Woodson.,Unclassified,Unclassified,,
SB882,Anesthesiologist assistants; establishes criteria for licensure.,Unclassified,Unclassified,,
HB1653,Real Estate Board; regulations related to fees charged to a licensee.,Unclassified,Unclassified,,
HR457,"House of Delegates; salaries, contingent and incidental expenses.",Unclassified,Unclassified,,
SB1069,Retired justices and judges; per diem payments for attendance at mandatory judicial conferences.,Unclassified,Unclassified,,
SB912,Safety and Health Codes Board; THC impairment standard for certain work sites.,Unclassified,Unclassified,,
SB852,Photo speed monitoring devices; proof of violation affirmed by retired law-enforcement officials.,Unclassified,Unclassified,,
HB1756,Southwest Regional Recreation Authority; directors.,Unclassified,Unclassified,,
HB1687,Charter; City of Virginia Beach.,Unclassified,Unclassified,,
SB807,Virginia Real Estate Time-Share Act; recordkeeping by resellers.,Unclassified,Unclassified,,
HB2021,"Fair Voice Purchasing Act; established, penalties.",Unclassified,Unclassified,,
HB1757,Compensation of court-appointed counsel.,Unclassified,Unclassified,,
SB970,"Cannabis control; establishes framework for creating retail market, penalties.",Unclassified,Unclassified,,
SB1350,Restaurants; food allergy awareness notice required.,Unclassified,Unclassified,,
HB2476,"Public officers; death, resignation, or ceasing to hold office, automatic substitution.",Unclassified,Unclassified,,
SJ285,"Commemorating the life and legacy of Private Oscar Cleveland Hicks, USA.",Unclassified,Unclassified,,
HR476,Auditor of Public Accounts; nomination for election.,Unclassified,Unclassified,,
SB742,Richard Bland College; governance.,Unclassified,Unclassified,,
SJ273,Governor; confirming appointments.,Unclassified,Unclassified,,
SB911,"Aerial pesticide application; Virginia Pollinator Protection Strategy, civil penalty.",Unclassified,Unclassified,,
SB916,Local ordinances; regulation of pet shops.,Unclassified,Unclassified,,
HB1767,Unemployment benefits; maximum duration.,Unclassified,Unclassified,,
HJ498,Kindness Day.,Unclassified,Unclassified,,
SB959,Vehicle owners; proof of financial responsibility in the future.,Unclassified,Unclassified,,
HB2643,"Estimated tax; failure by individual, trust, or estate to pay.",Unclassified,Unclassified,,
SB931,"Obscene materials; restrictions on purchase, distribution, exhibition, or loan; exceptions; libraries and schools.",Unclassified,Unclassified,,
HJ429,General Assembly; establishes 2026 Regular Session prefiling schedule.,Unclassified,Unclassified,,
SB862,Casino gaming; set-off of debts to the Commonwealth from prizes.,Unclassified,Unclassified,,
HB2309,Local health districts and health departments; guidance for septic and well permits.,Unclassified,Unclassified,,
HJ461,"Rural Affairs, Secretariat of; JLARC to study need for and feasibility of creating position.",Unclassified,Unclassified,,
SB972,Emergency Response Exposure Grant Fund and Program.,Unclassified,Unclassified,,
HB2022,Registration of aircraft; fees.,Unclassified,Unclassified,,
SB831,Pregnant individuals; DMAS to seek federal authority to implement presumptive eligibility.,Unclassified,Unclassified,,
HB2708,"Controlled substances; prohibited equipment related to manufacturing, selling, etc.; penalties.",Unclassified,Unclassified,,
HB2319,Drug and controlled paraphernalia; creates exception for drug checking products.,Unclassified,Unclassified,,
SB1470,Judicial Inquiry and Review Commission; submission of annual report.,Unclassified,Unclassified,,
SB748,Uniform Statewide Building Code; stakeholder group to evaluate temperature regulation.,Unclassified,Unclassified,,
SB872,Charter; City of Portsmouth.,Unclassified,Unclassified,,
HB1871,Transfer on death deeds; inter vivos deed conveying real property to another.,Unclassified,Unclassified,,
SB1492,Mass Violence Care Fund; established.,Unclassified,Unclassified,,
HB2612,Massage therapists; increases hours of minimum training for licensure.,Unclassified,Unclassified,,
SB910,Certificate of public need program; phased elimination.,Unclassified,Unclassified,,
HR475,Judicial Inquiry and Review Commission; nomination for election of member.,Unclassified,Unclassified,,
